Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
1991,Rich DeLucia,Mariners,4.85,3.86,1.26,1.53,12.60%,10.00%,2.60%,0.253,1.4,0.255,70.40%,123,131,,5.09,5.34,-0.25,,,1003185
1991,Doug Drabek,Pirates,5.45,2.38,2.29,0.61,14.50%,6.40%,8.20%,0.269,1.31,0.304,75.80%,85,91,,3.07,3.36,-0.29,,,1003473
1991,Alex Fernandez,White Sox,6.81,4.13,1.65,0.75,17.50%,10.60%,6.90%,0.252,1.43,0.295,69.40%,113,96,,4.51,3.84,0.67,,,1003993
1991,Mark Gardner,Expos,5.72,4.01,1.43,0.91,15.50%,10.80%,4.60%,0.227,1.27,0.249,72.10%,106,117,,3.85,4.31,-0.46,,,1004529
1991,Dwight Gooden,Mets,7.11,2.65,2.68,0.57,19.00%,7.10%,11.90%,0.253,1.27,0.305,72.20%,99,81,,3.6,3.03,0.57,,,1004852
1991,Tommy Greene,Phillies,6.67,2.86,2.33,0.82,18.00%,7.70%,10.30%,0.225,1.17,0.257,73.40%,91,95,,3.38,3.56,-0.18,,,1005013
1991,Bill Gullickson,Tigers,3.62,1.75,2.07,0.87,9.50%,4.60%,4.90%,0.283,1.33,0.295,71.40%,94,95,,3.9,3.95,-0.05,,,1005136
1991,Jose Guzman,Rangers,6.63,4.46,1.49,0.53,17.10%,11.50%,5.60%,0.237,1.39,0.28,76.60%,76,92,,3.08,3.7,-0.63,,,1005160
1991,Erik Hanson,Mariners,7.37,2.89,2.55,0.82,19.20%,7.50%,11.70%,0.265,1.36,0.315,72.60%,92,84,,3.81,3.41,0.41,,,1005333
1991,Pete Harnisch,Astros,7.14,3.45,2.07,0.58,19.10%,9.20%,9.90%,0.208,1.16,0.248,78.40%,76,93,,2.7,3.33,-0.63,,,1005374
1991,Greg Harris,Red Sox,6.61,3.59,1.84,0.68,17.40%,9.40%,7.90%,0.239,1.31,0.279,71.40%,89,90,,3.85,3.65,0.2,,,1005415
1991,Greg Hibbard,White Sox,3.29,2.64,1.25,1.07,8.80%,7.10%,1.70%,0.262,1.3,0.265,66.40%,108,114,,4.31,4.58,-0.26,,,1005764
1991,Ken Hill,Cardinals,6.01,3.33,1.81,0.74,16.30%,9.00%,7.30%,0.219,1.18,0.247,72.40%,98,102,,3.57,3.8,-0.23,,,1005827
1991,Brian Holman,Mariners,4.98,3.55,1.4,0.74,12.90%,9.20%,3.70%,0.265,1.41,0.291,75.90%,89,102,,3.69,4.15,-0.46,,,1005969
1991,Charlie Hough,White Sox,4.83,4.24,1.14,0.95,12.50%,11.00%,1.50%,0.222,1.31,0.234,71.70%,101,117,,4.02,4.73,-0.71,,,1006050
1991,Bruce Hurst,Padres,5.72,2.4,2.39,0.69,15.50%,6.50%,9.00%,0.237,1.17,0.267,72.70%,88,89,,3.29,3.42,-0.13,,,1006222
1991,Jimmy Key,Blue Jays,5.37,1.89,2.84,0.52,14.30%,5.00%,9.20%,0.249,1.2,0.281,71.70%,74,74,,3.05,3.08,-0.03,,,1006885
1991,Bill Krueger,Mariners,4.68,3.09,1.52,0.77,12.10%,8.00%,4.10%,0.282,1.45,0.308,74.30%,87,99,,3.6,4.03,-0.43,,,1007175
1991,Mark Langston,Angels,6.69,3.51,1.91,1.1,18.50%,9.70%,8.80%,0.213,1.16,0.235,80.90%,73,100,,3,4.15,-1.15,,,1007323
1991,Charlie Leibrandt,Braves,5.02,2.19,2.29,0.71,13.50%,5.90%,7.60%,0.238,1.17,0.261,67.70%,91,92,,3.49,3.54,-0.06,,,1007492
1991,Dennis Martinez,Expos,4.99,2.51,1.98,0.36,13.60%,6.90%,6.70%,0.223,1.12,0.252,76.10%,66,86,,2.39,3.17,-0.77,,,1008161
1991,Ramon Martinez,Dodgers,6.13,2.82,2.17,0.74,16.40%,7.50%,8.80%,0.226,1.18,0.256,73.50%,92,98,,3.27,3.59,-0.32,,,1008193
1991,Kirk McCaskill,Angels,3.6,3.34,1.08,0.96,9.30%,8.70%,0.70%,0.278,1.46,0.289,71.80%,104,112,,4.26,4.61,-0.36,,,1008382
